year,state_fips,state_abbr,state_name,population_total,population_adult_18_plus,population_male,population_female,education_bachelors_or_higher_25_plus,race_white_alone,race_black_alone,race_asian_alone,ethnicity_hispanic_or_latino,ethnicity_not_hispanic_or_latino,population_density_per_sq_mile
1980,38,ND,North Dakota,652717.0,,,,,,,,,,9.459556990643586
1980,39,OH,Ohio,10797630.0,,,,,,,,,,264.25471522874426
1980,40,OK,Oklahoma,3025290.0,,,,,,,,,,44.10370330630898
1980,41,OR,Oregon,2633105.0,,,,,,,,,,27.431603176271704
1980,42,PA,Pennsylvania,11863895.0,,,,,,,,,,265.15822692863867
1980,44,RI,Rhode Island,947154.0,,,,,,,,,,916.1780211063929
1980,45,SC,South Carolina,3121820.0,,,,,,,,,,103.85054240253886
1980,46,SD,South Dakota,690768.0,,,,,,,,,,9.111712020683015
1980,47,TN,Tennessee,4591120.0,,,,,,,,,,111.34063620864849
1980,48,TX,Texas,14229191.0,,,,,,,,,,54.46961626519231
1980,49,UT,Utah,1461037.0,,,,,,,,,,17.780744270205947
1980,50,VT,Vermont,511456.0,,,,,,,,,,55.49255370166633
1980,51,VA,Virginia,5346818.0,,,,,,,,,,135.39645009672049
1980,53,WA,Washington,4132156.0,,,,,,,,,,62.17927419723749
1980,54,WV,West Virginia,1949644.0,,,,,,,,,,81.10603909359308
1980,55,WI,Wisconsin,4705767.0,,,,,,,,,,86.88992167333237
1980,56,WY,Wyoming,469557.0,,,,,,,,,,4.836150113179984
1984,01,AL,Alabama,3952567.6,,,,,,,,,,78.04406842644721
1984,02,AK,Alaska,461127.8,,,,,,,,,,0.8080874672594037
1984,04,AZ,Arizona,3097020.2,,,,,,,,,,27.263922556527596
1984,05,AR,Arkansas,2312151.0,,,,,,,,,,44.434124562702216
1984,06,CA,California,26104749.6,,,,,,,,,,167.57530047974308
1984,08,CO,Colorado,3051736.0,,,,,,,,,,29.445005296603526
1984,09,CT,Connecticut,3179392.0,,,,,,,,,,656.579023451375
1984,10,DE,Delaware,623070.0,,,,,,,,,,319.7624888377965
1984,11,DC,District of Columbia,625759.8,,,,,,,,,,10249.955773955775
1984,12,FL,Florida,11022964.8,,,,,,,,,,205.5573731239077
1984,13,GA,Georgia,5869149.4,,,,,,,,,,102.04822207798554
1984,15,HI,Hawaii,1022106.2,,,,,,,,,,159.14137977744318
1984,16,ID,Idaho,969060.6,,,,,,,,,,11.725847233260312
1984,17,IL,Illinois,11428151.6,,,,,,,,,,205.8424324820381
1984,18,IN,Indiana,5511798.0,,,,,,,,,,153.84863162648693
1984,19,IA,Iowa,2858986.8,,,,,,,,,,51.183918686835504
1984,20,KS,Kansas,2409237.0,,,,,,,,,,29.467645775276324
1984,21,KY,Kentucky,3670584.6,,,,,,,,,,92.95833951690636
