year,state_fips,state_abbr,state_name,metric,value
1976,15,HI,Hawaii,race_asian_alone,
1976,15,HI,Hawaii,ethnicity_hispanic_or_latino,
1976,15,HI,Hawaii,ethnicity_not_hispanic_or_latino,
1976,15,HI,Hawaii,population_density_per_sq_mile,137.98693058762532
1976,16,ID,Idaho,population_total,851387.8
1976,16,ID,Idaho,population_adult_18_plus,
1976,16,ID,Idaho,population_male,
1976,16,ID,Idaho,population_female,
1976,16,ID,Idaho,education_bachelors_or_higher_25_plus,
1976,16,ID,Idaho,race_white_alone,
1976,16,ID,Idaho,race_black_alone,
1976,16,ID,Idaho,race_asian_alone,
1976,16,ID,Idaho,ethnicity_hispanic_or_latino,
1976,16,ID,Idaho,ethnicity_not_hispanic_or_latino,
1976,16,ID,Idaho,population_density_per_sq_mile,10.301980370537803
1976,17,IL,Illinois,population_total,11301501.2
1976,17,IL,Illinois,population_adult_18_plus,
1976,17,IL,Illinois,population_male,
1976,17,IL,Illinois,population_female,
1976,17,IL,Illinois,education_bachelors_or_higher_25_plus,
1976,17,IL,Illinois,race_white_alone,
1976,17,IL,Illinois,race_black_alone,
1976,17,IL,Illinois,race_asian_alone,
1976,17,IL,Illinois,ethnicity_hispanic_or_latino,
1976,17,IL,Illinois,ethnicity_not_hispanic_or_latino,
1976,17,IL,Illinois,population_density_per_sq_mile,203.5612213708009
1976,18,IN,Indiana,population_total,5371602.0
1976,18,IN,Indiana,population_adult_18_plus,
1976,18,IN,Indiana,population_male,
1976,18,IN,Indiana,population_female,
1976,18,IN,Indiana,education_bachelors_or_higher_25_plus,
1976,18,IN,Indiana,race_white_alone,
1976,18,IN,Indiana,race_black_alone,
1976,18,IN,Indiana,race_asian_alone,
1976,18,IN,Indiana,ethnicity_hispanic_or_latino,
1976,18,IN,Indiana,ethnicity_not_hispanic_or_latino,
1976,18,IN,Indiana,population_density_per_sq_mile,149.93539627941743
1976,19,IA,Iowa,population_total,2878035.2
1976,19,IA,Iowa,population_adult_18_plus,
1976,19,IA,Iowa,population_male,
1976,19,IA,Iowa,population_female,
1976,19,IA,Iowa,education_bachelors_or_higher_25_plus,
1976,19,IA,Iowa,race_white_alone,
1976,19,IA,Iowa,race_black_alone,
1976,19,IA,Iowa,race_asian_alone,
1976,19,IA,Iowa,ethnicity_hispanic_or_latino,
