year,state_fips,state_abbr,state_name,party_detailed,party_simplified,votes,total_votes,vote_pct,vote_share_of_total,candidate_examples,writein_count,democratic_votes_state,republican_votes_state,two_party_total_votes,two_party_vote_share,two_party_vote_pct
1984,15,HI,Hawaii,DEMOCRAT,DEMOCRAT,147154,335846,43.82,0.43815915627996166,"MONDALE, WALTER",0,147154,185050,332204,0.442962757823506,44.3
1984,15,HI,Hawaii,LIBERTARIAN,LIBERTARIAN,2167,335846,0.65,0.006452362094531422,"BERGLAND, DAVID",0,147154,185050,332204,,
1984,15,HI,Hawaii,COMMUNIST PARTY USE,OTHER,821,335846,0.24,0.0024445728101570364,"HALL, GUS",0,147154,185050,332204,,
1984,15,HI,Hawaii,INDEPENDENT,OTHER,654,335846,0.19,0.0019473210935964699,"LAROUCHE, LYNDON, JR.",0,147154,185050,332204,,
1984,15,HI,Hawaii,REPUBLICAN,REPUBLICAN,185050,335846,55.1,0.5509965877217534,"REAGAN, RONALD",0,147154,185050,332204,0.557037242176494,55.7
1984,16,ID,Idaho,DEMOCRAT,DEMOCRAT,108510,411144,26.39,0.2639221294728854,"MONDALE, WALTER",0,108510,297523,406033,0.2672442880258501,26.72
1984,16,ID,Idaho,LIBERTARIAN,LIBERTARIAN,2823,411144,0.69,0.006866207460159944,"BERGLAND, DAVID",0,108510,297523,406033,,
1984,16,ID,Idaho,POPULIST,OTHER,2288,411144,0.56,0.005564960208588718,"RICHARDS, BOB",0,108510,297523,406033,,
1984,16,ID,Idaho,REPUBLICAN,REPUBLICAN,297523,411144,72.36,0.723646702858366,"REAGAN, RONALD",0,108510,297523,406033,0.7327557119741499,73.28
1984,17,IL,Illinois,DEMOCRAT,DEMOCRAT,2086499,4819088,43.3,0.43296553206747834,"MONDALE, WALTER",0,2086499,2707103,4793602,0.4352674669277925,43.53
1984,17,IL,Illinois,LIBERTARIAN,LIBERTARIAN,10086,4819088,0.21,0.0020929271264604424,"BERGLAND, DAVID",0,2086499,2707103,4793602,,
1984,17,IL,Illinois,ALLIANCE,OTHER,2386,4819088,0.05,0.0004951144282901661,"SERRETTE, DENNIS",0,2086499,2707103,4793602,,
1984,17,IL,Illinois,CITIZENS,OTHER,2716,4819088,0.06,0.0005635921153546065,"JOHNSON, SONIA",0,2086499,2707103,4793602,,
1984,17,IL,Illinois,COMMUNIST PARTY USE,OTHER,4672,4819088,0.1,0.0009694780423183805,"HALL, GUS",0,2086499,2707103,4793602,,
1984,17,IL,Illinois,OTHER,OTHER,862,4819088,0.02,0.00017887201893802314,OTHER,0,2086499,2707103,4793602,,
1984,17,IL,Illinois,SOCIALIST WORKERS,OTHER,2132,4819088,0.04,0.00044240736006480894,"MASON, MELVIN",0,2086499,2707103,4793602,,
1984,17,IL,Illinois,WORKERS LEAGUE,OTHER,2632,4819088,0.05,0.0005461614313745671,"WINN, EDWARD",0,2086499,2707103,4793602,,
1984,17,IL,Illinois,REPUBLICAN,REPUBLICAN,2707103,4819088,56.17,0.5617459154097206,"REAGAN, RONALD",0,2086499,2707103,4793602,0.5647325330722075,56.47
1984,18,IN,Indiana,DEMOCRAT,DEMOCRAT,841481,2233069,37.68,0.3768271378985602,"MONDALE, WALTER",0,841481,1377230,2218711,0.37926570878316285,37.93
1984,18,IN,Indiana,LIBERTARIAN,LIBERTARIAN,6741,2233069,0.3,0.003018715498714997,"BERGLAND, DAVID",0,841481,1377230,2218711,,
1984,18,IN,Indiana,AMERICAN,OTHER,7617,2233069,0.34,0.0034110007348630966,"DENNIS, DELMAR",0,841481,1377230,2218711,,
1984,18,IN,Indiana,REPUBLICAN,REPUBLICAN,1377230,2233069,61.67,0.6167431458678617,"REAGAN, RONALD",0,841481,1377230,2218711,0.6207342912168372,62.07
1984,19,IA,Iowa,DEMOCRAT,DEMOCRAT,605620,1319805,45.89,0.4588708180375131,"MONDALE, WALTER",0,605620,703088,1308708,0.4627617466997986,46.28
1984,19,IA,Iowa,LIBERTARIAN,LIBERTARIAN,1844,1319805,0.14,0.001397176097984172,"BERGLAND, DAVID",0,605620,703088,1308708,,
1984,19,IA,Iowa,ALLIANCE,OTHER,463,1319805,0.04,0.00035080939987346615,"SERRETTE, DENNIS",0,605620,703088,1308708,,
1984,19,IA,Iowa,BIG DEAL PARTY,OTHER,892,1319805,0.07,0.0006758574183307383,"BAKER, GERALD",0,605620,703088,1308708,,
1984,19,IA,Iowa,COMMUNIST PARTY USE,OTHER,286,1319805,0.02,0.00021669867897151473,"HALL, GUS",0,605620,703088,1308708,,
1984,19,IA,Iowa,INDEPENDENT,OTHER,6248,1319805,0.47,0.004734032679070014,"LAROUCHE, LYNDON, JR.",0,605620,703088,1308708,,
1984,19,IA,Iowa,OTHER,OTHER,1051,1319805,0.08,0.0007963297608358811,OTHER,0,605620,703088,1308708,,
1984,19,IA,Iowa,SOCIALIST WORKERS,OTHER,313,1319805,0.02,0.00023715624656672765,"MASON, MELVIN",0,605620,703088,1308708,,
1984,19,IA,Iowa,REPUBLICAN,REPUBLICAN,703088,1319805,53.27,0.5327211216808544,"REAGAN, RONALD",0,605620,703088,1308708,0.5372382533002015,53.72
1984,20,KS,Kansas,DEMOCRAT,DEMOCRAT,333149,1021991,32.6,0.32598036577621525,"MONDALE, WALTER",0,333149,677296,1010445,0.3297052288843034,32.97
1984,20,KS,Kansas,LIBERTARIAN,LIBERTARIAN,3329,1021991,0.33,0.003257367237089172,"BERGLAND, DAVID",0,333149,677296,1010445,,
1984,20,KS,Kansas,ALLIANCE,OTHER,2544,1021991,0.25,0.002489258711671629,"SERRETTE, DENNIS",0,333149,677296,1010445,,
1984,20,KS,Kansas,POPULIST,OTHER,3564,1021991,0.35,0.003487310553615443,"RICHARDS, BOB",0,333149,677296,1010445,,
1984,20,KS,Kansas,PROHIBITION,OTHER,2109,1021991,0.21,0.0020636189555485324,"DODGE, EARL",0,333149,677296,1010445,,
1984,20,KS,Kansas,REPUBLICAN,REPUBLICAN,677296,1021991,66.27,0.66272207876586,"REAGAN, RONALD",0,333149,677296,1010445,0.6702947711156966,67.03
1984,21,KY,Kentucky,DEMOCRAT,DEMOCRAT,539539,1369345,39.4,0.39401246581394755,"MONDALE, WALTER",0,539539,821702,1361241,0.39635817610548024,39.64
1984,21,KY,Kentucky,ALLIANCE,OTHER,365,1369345,0.03,0.0002665507961835768,"SERRETTE, DENNIS",0,539539,821702,1361241,,
1984,21,KY,Kentucky,AMERICAN,OTHER,428,1369345,0.03,0.0003125581938810161,"DENNIS, DELMAR",0,539539,821702,1361241,,
1984,21,KY,Kentucky,CITIZENS,OTHER,599,1369345,0.04,0.00043743541620263704,"JOHNSON, SONIA",0,539539,821702,1361241,,
1984,21,KY,Kentucky,COMMUNIST PARTY USE,OTHER,328,1369345,0.02,0.00023953057848825532,"HALL, GUS",0,539539,821702,1361241,,
1984,21,KY,Kentucky,INDEPENDENT,OTHER,1776,1369345,0.13,0.0012969704493754313,"LAROUCHE, LYNDON, JR.",0,539539,821702,1361241,,
1984,21,KY,Kentucky,NATIONAL UNITY,OTHER,1479,1369345,0.11,0.0010800784316589318,"ANDERSON, JOHN B.",0,539539,821702,1361241,,
1984,21,KY,Kentucky,SOCIALIST WORKERS,OTHER,3129,1369345,0.23,0.0022850340856394847,"MASON, MELVIN",0,539539,821702,1361241,,
1984,21,KY,Kentucky,REPUBLICAN,REPUBLICAN,821702,1369345,60.01,0.6000693762346231,"REAGAN, RONALD",0,539539,821702,1361241,0.6036418238945198,60.36
1984,22,LA,Louisiana,DEMOCRAT,DEMOCRAT,651586,1706822,38.18,0.38175392630280136,"MONDALE, WALTER",0,651586,1037299,1688885,0.3858083883745785,38.58
1984,22,LA,Louisiana,LIBERTARIAN,LIBERTARIAN,1876,1706822,0.11,0.001099118713023385,"BERGLAND, DAVID",0,651586,1037299,1688885,,
1984,22,LA,Louisiana,ALLIANCE,OTHER,533,1706822,0.03,0.0003122762654805246,"SERRETTE, DENNIS",0,651586,1037299,1688885,,
1984,22,LA,Louisiana,CITIZENS,OTHER,9502,1706822,0.56,0.005567071434513968,"JOHNSON, SONIA",0,651586,1037299,1688885,,
1984,22,LA,Louisiana,INDEPENDENT,OTHER,3552,1706822,0.21,0.00208106059096965,"LAROUCHE, LYNDON, JR.",0,651586,1037299,1688885,,
1984,22,LA,Louisiana,POPULIST,OTHER,1310,1706822,0.08,0.0007675082697551355,"RICHARDS, BOB",0,651586,1037299,1688885,,
1984,22,LA,Louisiana,SOCIALIST WORKERS,OTHER,1164,1706822,0.07,0.0006819691801488381,"MASON, MELVIN",0,651586,1037299,1688885,,
1984,22,LA,Louisiana,REPUBLICAN,REPUBLICAN,1037299,1706822,60.77,0.6077370692433072,"REAGAN, RONALD",0,651586,1037299,1688885,0.6141916116254215,61.42
1984,23,ME,Maine,DEMOCRAT,DEMOCRAT,214515,553144,38.78,0.3878104074165136,"MONDALE, WALTER",0,214515,336500,551015,0.38930882099398384,38.93
1984,23,ME,Maine,ALLIANCE,OTHER,755,553144,0.14,0.0013649248658577152,"SERRETTE, DENNIS",0,214515,336500,551015,,
1984,23,ME,Maine,COMMUNIST PARTY USE,OTHER,1292,553144,0.23,0.002335738975745918,"HALL, GUS",0,214515,336500,551015,,
1984,23,ME,Maine,OTHER,OTHER,82,553144,0.01,0.000148243495364679,OTHER,0,214515,336500,551015,,
1984,23,ME,Maine,REPUBLICAN,REPUBLICAN,336500,553144,60.83,0.6083406852465181,"REAGAN, RONALD",0,214515,336500,551015,0.6106911790060162,61.07
1984,24,MD,Maryland,DEMOCRAT,DEMOCRAT,787935,1675873,47.02,0.4701639086016661,"MONDALE, WALTER",0,787935,879918,1667853,0.4724247280785537,47.24
1984,24,MD,Maryland,LIBERTARIAN,LIBERTARIAN,5721,1675873,0.34,0.0034137431655023977,"BERGLAND, DAVID",0,787935,879918,1667853,,
1984,24,MD,Maryland,ALLIANCE,OTHER,656,1675873,0.04,0.00039143777601286016,"SERRETTE, DENNIS",0,787935,879918,1667853,,
1984,24,MD,Maryland,COMMUNIST PARTY USE,OTHER,898,1675873,0.05,0.0005358401263102872,"HALL, GUS",0,787935,879918,1667853,,
1984,24,MD,Maryland,WORKERS WORLD,OTHER,745,1675873,0.04,0.0004445444255024098,"HOLMES, LARRY",0,787935,879918,1667853,,
1984,24,MD,Maryland,REPUBLICAN,REPUBLICAN,879918,1675873,52.51,0.5250505259050059,"REAGAN, RONALD",0,787935,879918,1667853,0.5275752719214463,52.76
1984,25,MA,Massachusetts,DEMOCRAT,DEMOCRAT,1239606,2559383,48.43,0.4843378267340214,"MONDALE, WALTER",0,1239606,1310936,2550542,0.48601669762740624,48.6
1984,25,MA,Massachusetts,ALLIANCE,OTHER,7998,2559383,0.31,0.0031249719170596975,"SERRETTE, DENNIS",0,1239606,1310936,2550542,,
1984,25,MA,Massachusetts,OTHER,OTHER,843,2559383,0.03,0.0003293762598251219,OTHER,0,1239606,1310936,2550542,,
1984,25,MA,Massachusetts,REPUBLICAN,REPUBLICAN,1310936,2559383,51.22,0.5122078250890938,"REAGAN, RONALD",0,1239606,1310936,2550542,0.5139833023725937,51.4
1984,26,MI,Michigan,DEMOCRAT,DEMOCRAT,1529638,3801658,40.24,0.4023607594370667,"MONDALE, WALTER",0,1529638,2251571,3781209,0.40453675001831424,40.45
