year,state_fips,state_abbr,state_name,office,candidate,party_detailed,party_simplified,writein,candidatevotes,totalvotes,vote_pct,version,notes,electoral_votes,electoral_votes_won_state,electoral_votes_won_election
1976,42,PA,Pennsylvania,US PRESIDENT,"MCCARTHY, EUGENE """"GENE""""",MCCARTHY '76,OTHER,False,50584,4620787,1.09,20210113,,27,0,0
1976,42,PA,Pennsylvania,US PRESIDENT,OTHER,OTHER,OTHER,False,2934,4620787,0.06,20210113,,27,0,0
1976,42,PA,Pennsylvania,US PRESIDENT,"FORD, GERALD",REPUBLICAN,REPUBLICAN,False,2205604,4620787,47.73,20210113,,27,0,241
1976,44,RI,Rhode Island,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,False,227636,410584,55.44,20210113,,4,4,297
1976,44,RI,Rhode Island,US PRESIDENT,"MACBRIDE, ROGER",LIBERTARIAN,LIBERTARIAN,False,715,410584,0.17,20210113,,4,0,0
1976,44,RI,Rhode Island,US PRESIDENT,"CAMEJO, PETER",SOCIALIST WORKERS,OTHER,False,462,410584,0.11,20210113,,4,0,0
1976,44,RI,Rhode Island,US PRESIDENT,"HALL, GUS",COMMUNIST PARTY USE,OTHER,False,334,410584,0.08,20210113,,4,0,0
1976,44,RI,Rhode Island,US PRESIDENT,"JULIUS """"JULES"""", LEVIN",SOCIALIST LABOR,OTHER,False,188,410584,0.05,20210113,,4,0,0
1976,44,RI,Rhode Island,US PRESIDENT,"FORD, GERALD",REPUBLICAN,REPUBLICAN,False,181249,410584,44.14,20210113,,4,0,241
1976,45,SC,South Carolina,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,False,450807,802583,56.17,20210113,,8,8,297
1976,45,SC,South Carolina,US PRESIDENT,,OTHER,OTHER,True,681,802583,0.08,20210113,,8,0,0
1976,45,SC,South Carolina,US PRESIDENT,"ANDERSON, THOMAS J.",AMERICAN,OTHER,False,2996,802583,0.37,20210113,,8,0,0
1976,45,SC,South Carolina,US PRESIDENT,"MADDOX, LESTER",AMERICAN INDEPENDENT PARTY,OTHER,False,1950,802583,0.24,20210113,,8,0,0
1976,45,SC,South Carolina,US PRESIDENT,"FORD, GERALD",REPUBLICAN,REPUBLICAN,False,346149,802583,43.13,20210113,,8,0,241
1976,46,SD,South Dakota,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,False,147068,300678,48.91,20210113,,4,0,297
1976,46,SD,South Dakota,US PRESIDENT,"MACBRIDE, ROGER",LIBERTARIAN,LIBERTARIAN,False,1619,300678,0.54,20210113,,4,0,0
1976,46,SD,South Dakota,US PRESIDENT,"CAMEJO, PETER",SOCIALIST WORKERS,OTHER,False,168,300678,0.06,20210113,,4,0,0
1976,46,SD,South Dakota,US PRESIDENT,"HALL, GUS",COMMUNIST PARTY USE,OTHER,False,318,300678,0.11,20210113,,4,0,0
1976,46,SD,South Dakota,US PRESIDENT,"FORD, GERALD",REPUBLICAN,REPUBLICAN,False,151505,300678,50.39,20210113,,4,4,241
1976,47,TN,Tennessee,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,False,825879,1476346,55.94,20210113,,10,10,297
1976,47,TN,Tennessee,US PRESIDENT,,INDEPENDENT,OTHER,False,316,1476346,0.02,20210113,,10,0,0
1976,47,TN,Tennessee,US PRESIDENT,,OTHER,OTHER,True,230,1476346,0.02,20210113,,10,0,0
1976,47,TN,Tennessee,US PRESIDENT,"ANDERSON, THOMAS J.",INDEPENDENT,OTHER,False,5769,1476346,0.39,20210113,,10,0,0
1976,47,TN,Tennessee,US PRESIDENT,"BUBAR, BENJAMIN """"BEN""""",INDEPENDENT,OTHER,False,442,1476346,0.03,20210113,,10,0,0
1976,47,TN,Tennessee,US PRESIDENT,"HALL, GUS",INDEPENDENT,OTHER,False,547,1476346,0.04,20210113,,10,0,0
1976,47,TN,Tennessee,US PRESIDENT,"LAROUCHE, LYNDON, JR.",INDEPENDENT,OTHER,False,512,1476346,0.03,20210113,,10,0,0
1976,47,TN,Tennessee,US PRESIDENT,"MACBRIDE, ROGER",INDEPENDENT,OTHER,False,1375,1476346,0.09,20210113,,10,0,0
1976,47,TN,Tennessee,US PRESIDENT,"MADDOX, LESTER",INDEPENDENT,OTHER,False,2303,1476346,0.16,20210113,,10,0,0
1976,47,TN,Tennessee,US PRESIDENT,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,OTHER,False,5004,1476346,0.34,20210113,,10,0,0
1976,47,TN,Tennessee,US PRESIDENT,"FORD, GERALD",REPUBLICAN,REPUBLICAN,False,633969,1476346,42.94,20210113,,10,0,241
1976,48,TX,Texas,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,False,2082319,4071884,51.14,20210113,,26,26,297
1976,48,TX,Texas,US PRESIDENT,,OTHER,OTHER,True,2982,4071884,0.07,20210113,,26,0,0
1976,48,TX,Texas,US PRESIDENT,"ANDERSON, THOMAS J.",AMERICAN,OTHER,False,11442,4071884,0.28,20210113,,26,0,0
1976,48,TX,Texas,US PRESIDENT,"CAMEJO, PETER",SOCIALIST WORKERS,OTHER,False,1723,4071884,0.04,20210113,,26,0,0
1976,48,TX,Texas,US PRESIDENT,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,OTHER,False,20118,4071884,0.49,20210113,,26,0,0
1976,48,TX,Texas,US PRESIDENT,"FORD, GERALD",REPUBLICAN,REPUBLICAN,False,1953300,4071884,47.97,20210113,,26,0,241
1976,49,UT,Utah,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,False,182110,541218,33.65,20210113,,4,0,297
